Player,POS,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G
Baltimore Ravens (BAL),DST,57,18,11,12,1,1,1,16,166,10.4
Dallas Cowboys (DAL),DST,42,15,8,13,6,1,1,16,162,10.1
Cleveland Browns (CLE),DST,46,17,10,11,3,0,0,16,149,9.3
Buffalo Bills (BUF),DST,53,16,12,12,2,0,0,16,147,9.2
Miami Dolphins (MIA),DST,53,13,11,13,4,0,0,16,143,8.9
Las Vegas Raiders (LV),DST,41,12,9,13,5,1,0,16,138,8.6
San Francisco 49ers (SF),DST,46,21,6,10,1,1,0,16,137,8.6
New York Jets (NYJ),DST,41,15,10,13,3,3,1,16,136,8.5
New Orleans Saints (NO),DST,33,16,10,9,2,0,1,16,135,8.4
Indianapolis Colts (IND),DST,49,15,9,16,4,0,1,16,135,8.4
Pittsburgh Steelers (PIT),DST,43,16,9,16,2,1,0,16,131,8.2
Houston Texans (HOU),DST,45,14,9,13,1,0,2,16,127,7.9
Minnesota Vikings (MIN),DST,42,11,11,21,2,0,0,16,124,7.8
Kansas City Chiefs (KC),DST,54,8,8,12,1,0,0,16,119,7.4
Jacksonville Jaguars (JAC),DST,38,15,11,11,2,0,0,16,117,7.3
Tampa Bay Buccaneers (TB),DST,45,13,10,16,1,1,0,16,116,7.3
Chicago Bears (CHI),DST,29,22,5,9,2,0,0,16,116,7.3
Denver Broncos (DEN),DST,39,11,15,17,1,1,1,16,115,7.2
New York Giants (NYG),DST,29,16,11,13,3,0,1,16,114,7.1
Cincinnati Bengals (CIN),DST,41,15,9,11,1,0,1,16,110,6.9
Seattle Seahawks (SEA),DST,46,11,8,12,3,0,0,16,107,6.7
Green Bay Packers (GB),DST,40,7,11,10,2,0,0,16,106,6.6
New England Patriots (NE),DST,35,10,7,13,1,1,1,16,105,6.6
Los Angeles Chargers (LAC),DST,47,8,12,13,0,0,1,16,105,6.6
Detroit Lions (DET),DST,37,14,6,11,1,1,0,16,98,6.1
Philadelphia Eagles (PHI),DST,41,8,8,13,3,1,0,16,97,6.1
Tennessee Titans (TEN),DST,45,4,8,11,1,0,0,16,97,6.1
Atlanta Falcons (ATL),DST,39,8,8,16,1,1,0,16,96,6
Los Angeles Rams (LAR),DST,38,10,4,6,0,2,0,16,77,4.8
Arizona Cardinals (ARI),DST,33,11,6,4,1,0,0,16,65,4.1
Carolina Panthers (CAR),DST,24,8,3,4,2,0,1,16,64,4
Washington Commanders (WAS),DST,39,7,10,10,0,0,0,16,64,4
