Player,POS,FG,FGA,PCT,LG,19-Jan,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G
Brandon Aubrey (DAL),K,35,35,100,60,0,9,13,4,9,44,47,16,171,10.7
Justin Tucker (BAL),K,31,36,86.1,50,0,10,9,11,1,50,51,16,156,9.8
Jake Elliott (PHI),K,29,31,93.5,61,0,9,6,7,7,44,45,16,152,9.5
Jason Myers (SEA),K,33,40,82.5,55,0,7,10,12,4,32,32,16,151,9.4
Dustin Hopkins (CLE),K,33,36,91.7,58,0,8,7,10,8,24,26,15,149,9.9
Cairo Santos (CHI),K,32,35,91.4,55,0,9,9,8,6,31,33,16,147,9.2
Harrison Butker (KC),K,31,33,93.9,60,0,7,13,6,5,37,37,16,146,9.1
Matt Gay (IND),K,30,37,81.1,57,0,9,7,7,7,35,36,16,146,9.1
Jason Sanders (MIA),K,24,28,85.7,57,0,6,7,6,5,56,57,16,144,9
Blake Grupe (NO),K,28,35,80,55,0,8,6,8,6,34,34,16,138,8.6
Brandon McManus (JAC),K,28,35,80,56,0,4,9,10,5,33,33,16,137,8.6
Cameron Dicker (LAC),K,27,29,93.1,55,0,6,8,6,7,35,35,16,136,8.5
Greg Zuerlein (NYJ),K,32,34,94.1,55,0,7,8,12,5,15,16,15,133,8.9
Younghoe Koo (ATL),K,31,36,86.1,54,0,10,9,9,3,25,26,16,133,8.3
Evan McPherson (CIN),K,25,30,83.3,56,0,5,6,7,7,36,36,16,132,8.3
Tyler Bass (BUF),K,24,29,82.8,54,0,4,12,4,4,46,47,16,130,8.1
Jake Moody (SF),K,21,24,87.5,57,0,7,8,4,2,58,58,16,129,8.1
Chris Boswell (PIT),K,28,30,93.3,57,0,8,7,7,6,25,26,16,128,8
Nick Folk (TEN),K,29,30,96.7,53,0,9,9,6,5,24,26,16,127,7.9
Wil Lutz (DEN),K,30,34,88.2,52,0,11,12,4,3,27,29,16,127,7.9
Chase McLaughlin (TB),K,26,28,92.9,57,0,8,10,2,6,33,33,16,125,7.8
Matt Prater (ARI),K,26,29,89.7,62,0,5,6,6,9,20,21,16,122,7.6
Anders Carlson (GB),K,26,31,83.9,53,0,5,14,4,3,32,37,16,120,7.5
Daniel Carlson (LV),K,24,28,85.7,54,0,9,6,8,1,29,29,16,111,6.9
Greg Joseph (MIN),K,22,28,78.6,54,1,7,8,2,4,34,36,16,110,6.9
Eddy Pineiro (CAR),K,25,29,86.2,56,0,6,7,7,5,17,20,15,109,7.3
Ka'imi Fairbairn (HOU),K,26,27,96.3,54,0,10,10,2,4,19,19,11,107,9.7
Joey Slye (WAS),K,18,23,78.3,61,0,2,6,7,3,31,34,16,98,6.1
Riley Patterson (CLE),K,16,18,88.9,52,0,2,11,2,1,39,42,14,91,6.5
Chad Ryland (NE),K,15,24,62.5,56,0,4,4,5,2,24,25,16,78,4.9
Brett Maher (LAR),K,17,23,73.9,54,0,3,4,7,3,12,13,7,76,10.9
Lucas Havrisik (FA),K,15,20,75,52,0,8,3,2,2,19,22,9,70,7.8
Graham Gano (NYG),K,11,17,64.7,57,0,2,3,3,3,8,8,8,50,6.3
Matt Ammendola (FA),K,6,9,66.7,45,0,2,3,1,0,10,11,5,29,5.8
Randy Bullock (NYG),K,5,6,83.3,56,0,0,2,2,1,10,10,6,29,4.8
Michael Badgley (DET),K,3,3,100,41,0,0,2,1,0,10,11,3,20,6.7
Mason Crosby (NYG),K,3,4,75,52,0,0,2,0,1,3,4,2,14,7
Austin Seibert (NYJ),K,1,1,100,34,0,0,1,0,0,1,1,1,4,4
Matthew Wright (CAR),K,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cade York (NYG),K,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piotr Czech (PIT),K,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Weatherford (NYJ),K,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parker Douglass (NYJ),K,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricky Schmit (SF),K,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zac Derr (ATL),K,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Reda (CLE),K,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garrett Rivas (TB),K,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Martinez (DAL),K,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Wellock (CAR),K,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Hickok (NYG),K,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MacKenzie Hoambrecker (SF),K,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Jacas (SF),K,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garrett Lindholm (ATL),K,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saverio Rocca (WAS),K,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kai Forbath (LAR),K,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clint Stitser (WAS),K,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connor Hughes (DAL),K,0,0,0,0,0,0,0,0,0,0,0,0,0,0
