Player,POS,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G
Josh Allen (BUF),QB,340,511,66.5,"3,778",7.4,27,15,20,85,413,13,3,15,363.6,24.2
Jalen Hurts (PHI),QB,327,499,65.5,"3,636",7.3,20,13,34,147,576,15,5,15,350.1,23.3
Dak Prescott (DAL),QB,353,516,68.4,"3,892",7.5,30,7,36,53,237,2,2,15,304.5,20.3
Lamar Jackson (BAL),QB,289,436,66.3,"3,357",7.7,19,7,36,142,786,5,6,15,301.9,20.1
Brock Purdy (SF),QB,286,416,68.8,"4,050",9.7,29,11,28,38,140,2,2,15,289,19.3
Jordan Love (GB),QB,321,514,62.5,"3,587",7,27,11,29,45,246,3,2,15,283.2,18.9
Patrick Mahomes II (KC),QB,380,568,66.9,"3,938",6.9,26,14,25,71,387,0,2,15,282.1,18.8
Jared Goff (DET),QB,365,539,67.7,"3,984",7.4,27,10,28,32,21,2,3,15,269.3,18
Russell Wilson (DEN),QB,297,447,66.4,"3,070",6.9,26,8,45,80,341,3,5,15,264.9,17.7
Sam Howell (WAS),QB,352,557,63.2,"3,624",6.5,19,17,60,43,265,5,2,15,260.5,17.4
Baker Mayfield (TB),QB,322,501,64.3,"3,598",7.2,26,8,35,56,157,1,3,15,259.5,17.3
Trevor Lawrence (JAC),QB,341,521,65.5,"3,736",7.2,19,12,35,67,329,4,7,15,258.4,17.2
Tua Tagovailoa (MIA),QB,349,495,70.5,"4,214",8.5,26,10,26,32,53,0,5,15,257.9,17.2
C.J. Stroud (HOU),QB,275,441,62.4,"3,631",8.2,20,5,35,35,143,3,4,13,247.1,19
Justin Herbert (LAC),QB,297,456,65.1,"3,134",6.9,20,7,29,52,228,3,1,13,240.7,18.5
Matthew Stafford (LAR),QB,302,487,62,"3,648",7.5,23,9,26,20,66,0,0,14,239.7,17.1
Joshua Dobbs (MIN),QB,262,417,62.8,"2,464",5.9,13,10,30,77,421,6,7,13,210.5,16.2
Derek Carr (NO),QB,329,488,67.4,"3,417",7,19,8,28,28,37,0,3,15,206.3,13.8
Justin Fields (CHI),QB,196,322,60.9,"2,146",6.7,15,9,36,105,585,3,4,11,205.3,18.7
Geno Smith (SEA),QB,284,438,64.8,"3,145",7.2,17,9,30,31,94,1,2,13,198.6,15.3
Gardner Minshew II (IND),QB,277,443,62.5,"2,940",6.6,14,9,32,31,88,3,5,14,183.4,13.1
Desmond Ridder (ATL),QB,224,354,63.3,"2,528",7.1,10,10,31,51,193,5,6,13,172.3,13.3
Bryce Young (CAR),QB,285,477,59.7,"2,671",5.6,11,9,53,36,227,0,5,14,158.6,11.3
Kirk Cousins (MIN),QB,216,311,69.5,"2,331",7.5,18,5,17,14,25,0,4,8,154.9,19.4
Joe Burrow (CIN),QB,244,365,66.8,"2,309",6.3,15,6,24,31,88,0,1,10,153.2,15.3
