Player,POS,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G
Christian McCaffrey (SF),RB,258,"1,395",5.4,72,19,14,63,78,537,8.5,7,2,15,346.7,23.1
Raheem Mostert (MIA),RB,209,"1,012",4.8,49,12,18,25,32,175,7,3,1,15,255.2,17
Rachaad White (TB),RB,242,873,3.6,38,5,6,56,62,507,9.1,3,1,15,218,14.5
Travis Etienne Jr. (JAC),RB,235,849,3.6,35,7,9,51,65,430,8.4,1,0,15,217.4,14.5
Kyren Williams (LAR),RB,208,"1,057",5.1,56,10,9,30,46,192,6.4,3,2,11,209.9,19.1
Derrick Henry (TEN),RB,249,972,3.9,63,7,11,28,35,214,7.6,0,0,15,207.2,13.8
Jahmyr Gibbs (DET),RB,154,872,5.7,36,14,9,51,67,316,6.2,1,1,13,202.3,15.6
Breece Hall (NYJ),RB,173,732,4.2,83,14,4,65,84,537,8.3,3,0,15,201.4,13.4
Joe Mixon (CIN),RB,222,858,3.9,22,2,8,47,58,348,7.4,1,0,15,200.1,13.3
James Cook (BUF),RB,208,"1,038",5,42,10,2,40,47,433,10.8,4,2,15,199.1,13.3
Alvin Kamara (NO),RB,170,649,3.8,17,0,5,73,84,462,6.3,1,0,12,189.6,15.8
Bijan Robinson (ATL),RB,188,873,4.6,38,8,4,48,74,373,7.8,3,3,15,184.6,12.3
David Montgomery (DET),RB,195,910,4.7,75,8,11,16,23,117,7.3,0,1,12,176.7,14.7
Tony Pollard (DAL),RB,219,886,4,31,7,5,52,62,295,5.7,0,1,15,174.1,11.6
Saquon Barkley (NYG),RB,217,877,4,36,12,4,36,52,210,5.8,4,2,12,172.7,14.4
D'Andre Swift (PHI),RB,216,988,4.6,43,10,5,38,48,209,5.5,1,1,15,172.7,11.5
Gus Edwards (BAL),RB,172,694,4,42,7,12,12,13,180,15,0,0,15,167.4,11.2
Isiah Pacheco (KC),RB,187,805,4.3,48,7,7,37,42,209,5.6,1,1,13,165.9,12.8
Josh Jacobs (LV),RB,233,805,3.5,63,8,6,37,54,296,8,0,1,13,162.6,12.5
Brian Robinson Jr. (WAS),RB,160,664,4.2,29,4,5,29,36,326,11.2,3,1,13,161.5,12.4
Kenneth Walker III (SEA),RB,192,774,4,45,11,7,25,33,234,9.4,1,0,13,161.3,12.4
Jerome Ford (CLE),RB,189,743,3.9,69,11,4,40,57,236,5.9,3,1,15,159.9,10.7
Zack Moss (IND),RB,177,764,4.3,56,11,5,27,37,192,7.1,2,0,13,153.1,11.8
Austin Ekeler (LAC),RB,156,571,3.7,55,7,5,43,64,394,9.2,1,3,12,148,12.3
Chuba Hubbard (CAR),RB,204,774,3.8,22,4,5,33,37,198,6,0,0,15,143.7,9.6
