Player,POS,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G
Sam LaPorta (DET),TE,81,113,860,10.6,48,15,9,1,4,0,0,16,184.9,11.6
Travis Kelce (KC),TE,93,121,984,10.6,53,17,5,0,0,0,1,15,172.9,11.5
T.J. Hockenson (MIN),TE,95,127,960,10.1,29,13,5,0,0,0,1,15,171.5,11.4
George Kittle (SF),TE,65,90,"1,020",15.7,66,31,6,1,2,0,0,16,170.7,10.7
David Njoku (CLE),TE,81,123,882,10.9,43,21,6,0,0,0,2,16,160.7,10
Evan Engram (JAC),TE,104,130,884,8.5,34,10,3,0,0,0,2,16,154.4,9.7
Cole Kmet (CHI),TE,70,86,678,9.7,53,13,6,3,2,0,0,16,139,8.7
Jake Ferguson (DAL),TE,65,96,692,10.6,40,12,5,0,0,0,0,16,131.7,8.2
Trey McBride (ARI),TE,78,100,791,10.1,38,10,2,0,0,0,0,16,130.1,8.1
Taysom Hill (NO),TE,29,36,263,9.1,36,3,2,75,350,4,1,15,117.1,7.8
Dalton Schultz (HOU),TE,54,81,593,11,31,8,5,0,0,0,1,14,114.3,8.2
Mark Andrews (BAL),TE,45,61,544,12.1,38,11,6,1,0,0,0,10,112.9,11.3
Kyle Pitts (ATL),TE,51,87,640,12.5,39,10,3,1,-4,0,0,16,107.1,6.7
Dallas Goedert (PHI),TE,58,80,588,10.1,49,8,3,1,1,0,0,13,105.9,8.1
Dalton Kincaid (BUF),TE,66,83,589,8.9,51,6,2,0,0,0,1,15,101.9,6.8
Hunter Henry (NE),TE,42,61,419,10,24,2,6,0,0,0,0,14,98.9,7.1
Logan Thomas (WAS),TE,54,76,487,9,29,3,4,1,2,0,2,15,97.9,6.5
Tyler Conklin (NYJ),TE,59,84,605,10.3,37,9,0,1,0,0,0,16,90,5.6
Cade Otton (TB),TE,45,64,425,9.4,27,5,4,0,0,0,1,16,89,5.6
Jonnu Smith (ATL),TE,47,67,553,11.8,60,11,2,1,0,0,1,16,88.8,5.6
Tyler Higbee (LAR),TE,47,70,495,10.5,33,8,2,0,0,0,0,15,85,5.7
Gerald Everett (LAC),TE,50,69,407,8.1,31,5,3,3,10,0,0,14,84.7,6.1
Chigoziem Okonkwo (TEN),TE,52,74,492,9.5,39,6,1,2,6,0,0,16,81.8,5.1
Darren Waller (NYG),TE,47,68,507,10.8,29,7,1,0,0,0,0,11,80.2,7.3
Isaiah Likely (BAL),TE,28,38,380,13.6,54,10,4,0,0,0,0,16,76,4.8
Juwan Johnson (NO),TE,34,56,328,9.6,32,7,4,0,0,0,0,12,73.8,6.2
Tanner Hudson (CIN),TE,37,48,341,9.2,26,3,1,0,0,0,0,11,58.6,5.3
Tucker Kraft (GB),TE,28,37,324,11.6,43,8,2,0,0,0,0,16,58.4,3.7
Michael Mayer (LV),TE,27,40,304,11.3,32,3,2,0,0,0,0,14,57.9,4.1
Pat Freiermuth (PIT),TE,30,45,287,9.6,29,3,2,0,0,0,0,11,57.7,5.2
Noah Fant (SEA),TE,32,43,414,12.9,51,11,0,0,0,0,0,16,57.4,3.6
Luke Musgrave (GB),TE,33,45,341,10.3,37,7,1,0,0,0,0,10,56.6,5.7
