Player,POS,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G
CeeDee Lamb (DAL),WR,122,168,"1,651",13.5,92,41,10,13,106,2,2,16,306.7,19.2
Tyreek Hill (MIA),WR,112,158,"1,717",15.3,78,56,12,6,15,0,1,15,299.2,19.9
Amon-Ra St. Brown (DET),WR,112,154,"1,371",12.2,46,28,9,4,24,0,1,15,247.5,16.5
Mike Evans (TB),WR,76,128,"1,233",16.2,75,39,13,0,0,0,0,16,239.3,15
A.J. Brown (PHI),WR,105,157,"1,447",13.8,59,34,7,0,0,0,1,16,237.2,14.8
Puka Nacua (LAR),WR,101,154,"1,445",14.3,80,40,5,12,89,0,0,16,233.9,14.6
DJ Moore (CHI),WR,92,130,"1,300",14.1,58,39,8,4,21,1,1,16,230.1,14.4
Keenan Allen (LAC),WR,108,150,"1,243",11.5,42,24,7,2,6,0,1,13,224.9,17.3
Deebo Samuel (SF),WR,58,87,871,15,54,30,7,36,214,5,0,14,209.5,15
Ja'Marr Chase (CIN),WR,96,139,"1,197",12.5,76,28,7,3,-6,0,0,15,208.8,13.9
Stefon Diggs (BUF),WR,100,152,"1,096",11,55,17,8,1,5,0,1,16,208.1,13
Brandon Aiyuk (SF),WR,72,101,"1,317",18.3,76,42,7,0,0,0,1,15,207.7,13.8
Davante Adams (LV),WR,98,167,"1,098",11.2,46,19,7,0,0,0,0,16,200.8,12.6
Amari Cooper (CLE),WR,72,128,"1,250",17.4,75,42,5,0,0,0,1,15,191,12.7
DK Metcalf (SEA),WR,65,113,"1,104",17,73,37,8,0,0,0,0,15,190.9,12.7
Michael Pittman Jr. (IND),WR,104,150,"1,108",10.7,75,20,4,0,0,0,0,15,190.8,12.7
Nico Collins (HOU),WR,71,100,"1,102",15.5,59,34,7,1,7,0,0,14,190.4,13.6
DeVonta Smith (PHI),WR,81,112,"1,066",13.2,63,27,7,0,0,0,1,16,187.1,11.7
Adam Thielen (CAR),WR,101,134,"1,002",9.9,32,12,4,1,6,0,0,16,177.3,11.1
George Pickens (PIT),WR,63,106,"1,140",18.1,86,42,5,2,15,0,0,16,177,11.1
Chris Olave (NO),WR,84,135,"1,067",12.7,51,24,4,0,0,0,0,15,174.7,11.6
Rashee Rice (KC),WR,79,102,938,11.9,67,16,7,1,-3,0,1,16,173,10.8
Jordan Addison (MIN),WR,66,100,854,12.9,62,23,9,1,2,0,0,16,172.6,10.8
Calvin Ridley (JAC),WR,70,126,910,13,45,21,7,9,23,0,0,16,172.3,10.8
DeAndre Hopkins (TEN),WR,68,127,"1,011",14.9,61,27,6,2,9,0,0,16,172,10.8
